dc6aa7e2-491c-5ca7-ad34-5c8f655f8e6c,Kyrigan,Gekko,117.6,4,16,7,62.5,90.0,13.3,0,3,Easy As Pie,0,0,0,0,0,0,0,0,07a26827-564d-4860-a8b9-df81c6a9525b
65b3d6f1-470c-5975-b69d-166f7fc2d2bb,PAYGE,Omen,235.8,13,11,2,62.5,145.1,23.9,0,0,Easy As Pie,2,0,0,0,1,0,1,0,07a26827-564d-4860-a8b9-df81c6a9525b
4a669153-31bc-5ff0-84d6-a24696182b66,StrawBerry,Jett,106.9,6,15,1,43.8,71.7,9.4,2,7,Easy As Pie,0,0,1,0,1,0,0,0,07a26827-564d-4860-a8b9-df81c6a9525b
5ce65c80-3d80-572f-8c60-0757bb9103b1,baleb,Raze,342.8,20,6,4,93.8,213.9,16.9,3,0,Killer Instinct Gaming,0,0,1,0,0,0,0,0,07a26827-564d-4860-a8b9-df81c6a9525b
60b7dcb4-d3f0-5566-92ed-e54637417fb9,KIG NOIR,Omen,180.2,11,7,8,93.8,109.0,24.2,1,1,Killer Instinct Gaming,0,0,0,0,0,0,0,0,07a26827-564d-4860-a8b9-df81c6a9525b
371487da-72ae-54ee-9e17-30e44420880a,KIG Krispyy,Fade,140.4,8,10,1,62.5,91.3,12.8,3,3,Killer Instinct Gaming,0,0,0,0,0,0,0,0,07a26827-564d-4860-a8b9-df81c6a9525b
dae24c00-bf37-576b-b518-3b2abc60bf76,f a b i o,Cypher,216.0,12,14,0,43.8,147.0,27.8,1,0,Easy As Pie,0,0,0,0,3,0,1,0,07a26827-564d-4860-a8b9-df81c6a9525b
981c14eb-f05d-5936-9a2f-b83bd879da04,W a f f l e,Breach,58.2,2,14,4,37.5,48.8,22.2,1,2,Easy As Pie,0,0,0,0,0,0,1,0,07a26827-564d-4860-a8b9-df81c6a9525b
21f35e3f-136d-5c53-9332-cf95d35aea3e,KIG sutterismine,Killjoy,145.7,9,8,1,68.8,99.1,12.5,1,0,Killer Instinct Gaming,1,0,0,0,1,0,0,0,07a26827-564d-4860-a8b9-df81c6a9525b
be0fbb47-2214-5b95-81f6-20ce9fdd17e6,Monke,Breach,369.2,22,6,5,87.5,244.2,23.9,4,0,Killer Instinct Gaming,0,0,0,0,1,0,0,0,07a26827-564d-4860-a8b9-df81c6a9525b
371487da-72ae-54ee-9e17-30e44420880a,KIG Krispyy,Skye,272.1,16,12,9,77.8,179.1,10.0,2,4,Killer Instinct Gaming,2,0,0,0,0,0,0,0,8a14646d-3dea-4ee9-86f3-4c6a5e91cad8
